Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,28.468750,29.375000,28.281250,28.718750,14.941840,10734600
2000-02-01,28.718750,29.187500,28.156250,29.062500,15.120691,8114600
2000-02-02,28.937500,28.937500,28.031250,28.187500,14.665442,7164000
2000-02-03,28.187500,28.375000,27.531250,27.625000,14.372785,9464400
2000-02-04,27.625000,28.875000,27.531250,28.125000,14.632924,11501800
2000-02-07,28.125000,28.812500,27.781250,28.437500,14.795516,7742800
2000-02-08,28.437500,28.937500,28.375000,28.593750,14.876804,8261200
2000-02-09,28.593750,28.875000,28.375000,28.500000,14.828025,7948600
2000-02-10,28.500000,28.687500,28.125000,28.343750,14.746736,8031000
2000-02-11,27.968750,27.968750,27.437500,27.781250,14.454082,7688600
2000-02-14,27.625000,27.625000,26.906250,27.062500,14.080130,7134000
2000-02-15,27.062500,27.875000,26.625000,27.843750,14.486594,7850800
2000-02-16,27.718750,27.718750,26.625000,26.781250,13.933795,6869200
2000-02-17,26.781250,26.781250,25.593750,26.156250,13.608615,11661000
2000-02-18,26.156250,26.156250,25.375000,25.687500,13.364738,11443400
2000-02-22,25.687500,26.312500,25.250000,25.875000,13.462287,10543000
2000-02-23,25.718750,25.718750,25.000000,25.625000,13.332226,11021600
2000-02-24,25.250000,25.250000,24.156250,24.906250,12.958266,15451600
2000-02-25,24.906250,25.343750,24.031250,24.343750,12.665612,10905200
2000-02-28,24.343750,24.843750,23.781250,24.656250,12.828199,10790800
2000-02-29,24.406250,24.406250,23.812500,24.312500,12.649344,10346200
2000-03-01,24.593750,25.687500,24.593750,25.500000,13.267185,15612200
2000-03-02,25.500000,25.906250,24.687500,24.812500,12.909494,11358600
2000-03-03,24.812500,25.187500,24.531250,25.062500,13.039565,9010600
2000-03-06,24.750000,24.750000,24.156250,24.500000,12.746907,7866000
2000-03-07,24.500000,24.500000,22.406250,23.562500,12.259136,23440200
2000-03-08,23.562500,24.031250,22.937500,23.750000,12.356693,14441600
2000-03-09,23.750000,23.781250,22.937500,23.375000,12.161591,12389400
2000-03-10,23.312500,23.312500,22.031250,22.750000,11.836411,14059200
2000-03-13,22.156250,22.156250,21.562500,21.875000,11.423847,15646400
2000-03-14,21.875000,22.156250,21.437500,21.656250,11.309607,11162000
2000-03-15,21.750000,23.906250,21.750000,23.781250,12.419352,22138200
2000-03-16,24.281250,24.937500,24.281250,24.875000,12.990551,17610200
2000-03-17,24.875000,24.968750,24.375000,24.562500,12.827344,14530800
2000-03-20,24.500000,24.500000,24.031250,24.281250,12.680470,6755200
2000-03-21,24.281250,24.843750,23.687500,24.718750,12.908947,8575800
2000-03-22,24.500000,24.500000,23.093750,23.531250,12.288794,11884200
2000-03-23,23.531250,24.187500,23.218750,23.500000,12.272475,10333800
2000-03-24,23.500000,23.593750,23.187500,23.500000,12.272475,8769200
2000-03-27,23.500000,23.562500,22.625000,22.625000,11.815514,10535400
2000-03-28,22.625000,23.250000,22.437500,22.437500,11.717600,13673000
2000-03-29,22.656250,23.531250,22.656250,23.437500,12.239836,16292600
2000-03-30,23.562500,24.968750,23.562500,24.281250,12.680470,18795200
2000-03-31,24.281250,24.343750,23.468750,23.468750,12.256157,8857000
2000-04-03,23.625000,24.968750,23.625000,24.656250,12.876307,14186800
2000-04-04,24.656250,26.187500,24.093750,26.187500,13.675967,27390200
2000-04-05,25.468750,25.468750,23.687500,23.812500,12.435670,20256600
2000-04-06,23.812500,23.968750,22.375000,22.875000,11.946082,20675000
2000-04-07,22.875000,23.218750,22.375000,23.093750,12.060322,12374000
2000-04-10,23.093750,23.593750,22.437500,22.500000,11.750246,12903000
2000-04-11,22.843750,23.875000,22.843750,23.593750,12.321432,12096400
2000-04-12,23.843750,24.968750,23.843750,24.250000,12.664153,15586400
2000-04-13,24.250000,24.312500,23.562500,23.625000,12.337758,8892800
2000-04-14,23.625000,23.781250,23.031250,23.500000,12.272475,9488200
2000-04-17,23.500000,24.312500,23.125000,24.250000,12.664153,10710200
2000-04-18,24.250000,24.562500,23.187500,24.312500,12.696783,13001000
2000-04-19,24.312500,24.843750,23.968750,24.593750,12.843667,10073200
2000-04-20,24.593750,24.718750,24.000000,24.718750,12.908947,8278600
2000-04-24,24.718750,25.218750,24.500000,24.812500,12.957902,9377600
2000-04-25,24.812500,25.250000,24.093750,25.250000,13.186385,8711600
2000-04-26,25.062500,25.062500,24.437500,24.718750,12.908947,9536200
2000-04-27,24.562500,24.562500,23.718750,24.125000,12.598870,9023200
2000-04-28,24.125000,24.187500,23.375000,23.625000,12.337758,7568800
2000-05-01,23.500000,23.500000,23.125000,23.125000,12.076640,7754000
2000-05-02,23.125000,23.781250,22.968750,23.125000,12.076640,9209400
2000-05-03,23.125000,24.406250,23.062500,24.250000,12.664153,14397400
2000-05-04,24.250000,24.593750,23.656250,24.250000,12.664153,6842400
2000-05-05,24.000000,24.000000,23.375000,23.531250,12.288794,5999200
2000-05-08,23.812500,24.250000,23.812500,24.250000,12.664153,6013000
2000-05-09,24.968750,25.625000,24.968750,25.250000,13.186385,22386000
2000-05-10,25.250000,26.500000,25.250000,26.406250,13.790217,21062000
2000-05-11,26.500000,26.906250,26.500000,26.781250,13.986052,15919400
2000-05-12,26.500000,26.500000,25.750000,26.125000,13.643339,7498200
2000-05-15,26.125000,26.375000,25.500000,25.875000,13.512774,8056600
2000-05-16,25.375000,25.375000,24.312500,24.468750,12.778387,16476600
2000-05-17,24.468750,24.593750,24.000000,24.125000,12.598870,8448600
2000-05-18,24.125000,24.937500,24.093750,24.718750,12.908947,8098600
2000-05-19,24.718750,25.156250,24.531250,25.031250,13.072145,10053600
2000-05-22,25.031250,25.343750,24.718750,25.343750,13.235343,9716400
2000-05-23,25.093750,25.093750,24.843750,25.000000,13.055819,7210000
2000-05-24,25.093750,26.531250,25.093750,26.343750,13.757576,10788000
